coach_frame,user_frame,similarity,distance,score
0,0,0.9302098,0.7203968,84.995186
1,1,0.9349467,0.68070644,85.57278
2,2,0.9438103,0.6267101,86.47549
3,3,0.95042837,0.61816734,86.80449
4,4,0.9627677,0.55109966,88.03799
5,5,0.9668102,0.5317633,88.42363
6,6,0.95736486,0.6400262,86.800156
7,7,0.93183374,0.7391057,84.864426
8,8,0.89886355,0.992733,81.51492
9,9,0.9096181,0.89414185,82.67494
10,10,0.93547434,0.8011881,84.39728
11,11,0.9598802,0.5980183,87.36906
12,12,0.9598595,0.5700593,87.702644
13,13,0.9641204,0.6079155,87.40191
14,14,0.95347834,0.7147567,85.86694
15,15,0.9492672,0.7297801,85.5676
16,16,0.9557512,0.8453461,84.708405
17,17,0.9482427,0.99302447,83.241
18,18,0.93399495,1.1384436,81.71872
19,19,0.9550484,0.93692917,83.91512
20,20,0.95339566,0.95164895,83.74046
21,21,0.96547234,0.9379829,84.27155
22,22,0.9548735,0.9052737,84.16634
23,23,0.9556272,1.0145383,83.3387
24,24,0.9496852,1.0635029,82.77737
25,25,0.94253016,1.2265472,81.46233
26,26,0.93615234,1.1992179,81.40655
27,27,0.9048852,1.5321152,78.518776
28,28,0.8985059,1.5351521,78.28131
29,29,0.9011692,1.390991,79.08802
30,30,0.88638234,1.4123485,78.4594
31,31,0.8753882,1.478375,77.74329
32,32,0.9136831,1.1828117,80.72265
33,33,0.92872435,0.9984821,82.51674
34,34,0.87808174,1.1701391,79.55686
35,35,0.9525098,0.79047793,85.09315
36,36,0.91817725,0.8540837,83.31671
37,37,0.90877265,0.82552516,83.24067
38,38,0.90736216,0.7454933,83.94479
39,39,0.9056164,0.7275148,84.06256
40,40,0.8961885,0.7309542,83.698074
41,41,0.93479234,0.61121607,86.33721
42,42,0.9222769,0.6194228,85.80481
43,43,0.9242428,0.62576026,85.8014
44,44,0.91488063,0.67815447,84.8976
45,45,0.9185227,0.5975805,85.92669
46,46,0.9146716,0.6291843,85.42763
47,47,0.9027891,0.7013187,84.230995
48,48,0.9078538,0.688239,84.544876
49,49,0.9110616,0.650527,85.06316
50,50,0.92335045,0.59637994,86.10978
51,51,0.92611027,0.5855281,86.33501
52,52,0.9150848,0.61693686,85.581566
53,53,0.88408655,0.74444705,83.14046
54,54,0.91588193,0.6569454,85.16147
55,55,0.9345903,0.528527,87.3374
56,56,0.94127965,0.510019,87.81209
57,57,0.9385389,0.54322046,87.28873
58,58,0.9403794,0.5313925,87.50329
59,59,0.94189304,0.5281715,87.597565
60,60,0.9172357,0.59168327,85.95122
61,61,0.9186188,0.6038933,85.85615
62,62,0.9326065,0.6300691,86.04535
63,63,0.95994145,0.5442792,88.02448
64,64,0.9466365,0.6162038,86.6943
65,65,0.9522705,0.5323168,87.90766
66,66,0.9444794,0.5632327,87.24778
67,67,0.93585825,0.6526619,85.90757
68,68,0.94702023,0.56953096,87.2597
69,69,0.93568265,0.6045,86.44631
70,70,0.9327963,0.61203283,86.25791
71,71,0.9362527,0.5775323,86.78589
72,72,0.93273985,0.598058,86.418686
73,73,0.9375746,0.6174164,86.36321
74,74,0.9285047,0.65757316,85.59641
75,75,0.9094187,0.74465257,84.02505
76,76,0.86504847,0.86719084,81.34361
77,77,0.864839,0.84833443,81.5002
78,78,0.83000463,0.9638841,79.32601
79,79,0.9151902,0.6889204,84.79449
80,80,0.916252,0.70779496,84.63534
81,81,0.952623,0.60679525,87.012505
82,82,0.95574254,0.5670394,87.59537
83,83,0.9550922,0.58814394,87.3182
84,84,0.864602,0.94378614,80.69487
85,85,0.8675264,0.95552117,80.704605
86,86,0.8525456,1.1013485,79.11564
87,87,0.8722386,0.9471574,80.93543
88,88,0.8825784,0.9383605,81.36723
89,89,0.9604623,0.55986613,87.8486
90,90,0.9596678,0.5600281,87.818794
91,91,0.95185107,0.59704566,87.09947
92,92,0.8914544,0.8489212,82.42658
93,93,0.9465269,0.60774577,86.78811
94,94,0.9294571,0.7594517,84.58177
95,95,0.9502354,0.73221093,85.57714
96,96,0.9738646,0.52122706,88.806175
97,97,0.97159106,0.5628007,88.201996
98,98,0.9699986,0.5753176,87.99373
99,99,0.96786857,0.5694174,87.990776
100,100,0.9481786,0.7204517,85.62353
101,101,0.9490059,0.70441014,85.8166
102,102,0.94360435,0.7137883,85.53123
103,103,0.94436985,0.7444649,85.25019
104,104,0.9443276,0.6546851,86.1818
105,105,0.9199387,0.9044118,82.950745
